ABV,Brewery,Description,IBU,Name,Rating,Style,URL
21 IBU,Tiberio,"1636
Cerveza Lager
Color velado amarillento pajizo, elegantemente traslucido que caracteriza la producción artesana , con densa corona de espuma
Olores limpios a dulce malta con notas de especias características de la levadura lager, y matices florales ... Ver más balsámicos provenientes de los lúpulos de Estados Unidos y Reino Unido.
Sabores delicadamente dulces y especiados, que van abriendo paso a un rico gusto a malta con un final largo, floral y envolvente, de paladar muy reconfortante.
Temperatura de servicio recomendada entre 6 y 8º C Ver menos",21 IBU,Tiberio 1636,,Lager,/cervezas/tiberio-1636
6.7 º,Old Skull,"Old Skull Hop Racer
Indian Pilsen Ale
IPA con base de malta pilsen, aromas frutales y amargor intenso. dorada, fresca y con cuerpo medio.",6.7 º,Old Skull Hop Racer,,India Pale Ale,/cervezas/old-skull-hop-racer
30 IBU,Basqueland Brewing Project,Different Folks,30 IBU,Basqueland Different Folks,,Session IPA,/cervezas/basqueland-different-folks
18 IBU,Dèria Cerveses,Otra elaboración de Dèria Cerveses,18 IBU,Dèria Red Deer,,Amber Ale,/cervezas/deria-red-deer
4 º,Maeloc,"Maeloc Sidra con Mora
¿Quién no ha ido alguna vez a recoger moras? Con un toque de mora que te hará recordar aquellas excursiones al campo.
Color: Rosado y brillante.
Aroma: A sidra con notas de frutos del bosque.
Sabor: A mora, dulzón pero ... Ver más y refrescante. Ver menos",4 º,Maeloc Sidra con Mora,,Sidra - Fruit Cider,/cervezas/maeloc-sidra-con-mora
38 IBU,Sesma Brewing,"Sesma La Meta
Nº9 La Meta Blood Orange Session IPA
Cerveza de estilo Session IPA elaborada con naranja sanguina, maltas Pale, y copos de avena. Lúpulos Amarillo y Citra.
De color amarillo anaranjado, de cuerpo ligero, espuma blanca persistente, ... Ver más boca se aprecia la suavidad de la malta y la potencia de la fruta, con toques resinosos y un amargor agradable. Aroma potente a fruta debido a su doble sesión de Dry Hop con la friolera de 8 kg de lúpulo Amarillo y Citra por 10 HL de cerveza. Ver menos",38 IBU,Sesma La Meta,,India Pale Ale,/cervezas/sesma-la-meta
109 IBU,Maiku Brewing,"Clon de Fina Frontier de Tool. Intensa, aromática, muy amarga pero bien equilibrada de dulzor.",109 IBU,Maiku Cloning bad,,Imperial IPA,/cervezas/maiku-cloning-bad
6.2 º,Cubier,"Cubier Abadía Triple Malta
Desde tierras toledanas nos llega esta ale artesanal de estilo abadía con triple malta, tostada, ligeramente turbia, color caramelo, bronce oscuro con una espuma color beige o vainilla bien definida, presenta carbonatación ... Ver más con burbuja fina.
En nariz despierta aroma a malta torrefacta con toques de nuez moscada.
En boca define cuerpo potente con sus 6.2º bien integrados y equilibrados, con amargor no profundo pero si persistente.
Perfecta para maridar con quesos curados de la tierra, embutidos y para tomar reposadamente cultivando la conversación. Ver menos",6.2 º,Cubier Abadía Triple Malta,,Belgian Tripel,/cervezas/cubier-abadia-triple-malta
6.3 º,Mahou San Miguel,"Mahou Mixta Revoluxion
Con ron, menta y guaraná
Llega lo que estaba faltando en la noche. Llega una mezcla única que te volará la cabeza. Llega Mixta Revoluxion. Cerveza con ron añejo, menta y guaraná. Unidas para liarla ",6.3 º,Mahou Mixta Revoluxion,,Specialty Beer,/cervezas/mahou-mixta-revoluxion
90 IBU,Vihop DistribucióZeta BeerBidassoa Basque BreweryGuineu - Ca l’ArenysLa Quince BreweryZulogaardenEspigaMoska de Girona,"Vihoppers´s IPA
Vihop II Aniversari
Imperial IPA con maracuyá para celebrar el segundo aniversario de la distribuidroa Vihop.
7 maltas, 7 lúpulos, 7 microcervecerías: Bidasoa, La Quince, Zulogaarden, Zeta, Espiga, Moska y Guineu,...y algunos ... Ver más como Arán León, de La Pirata; Beñat y Anastasia de NaparBCN; David, de Barcelona Beer Company, Dani Ruiz, de Cerve TV, Josep, de Garege Beer Co, Álex y Valentina de Chivuo’s, Oriol de Art Cervesers, Roger de Bodega Fermín. Ver menos",90 IBU,Vihoppers´s IPA,,Imperial IPA,/cervezas/vihoppers-s-ipa
5 º,"Monaterium Cerveza Artesanal
Esta cerveza artesanal es el resultado de la evolución de la cerveza durante siglos hasta la actualidad.
Elaborada artesanalmente con criterios monásticos, no contiene aditivos ni productos químicos. Solo 100% malta ... Ver más cebada y lúpulos de gran sabor y aroma. Ver menos","Monaterium Cerveza Artesanal
Esta cerveza artesanal es el resultado de la evolución de la cerveza durante siglos hasta la actualidad.
Elaborada artesanalmente con criterios monásticos, no contiene aditivos ni productos químicos. Solo 100% malta ... Ver más cebada y lúpulos de gran sabor y aroma. Ver menos",5 º,Monasterium Cerveza Artesanal,,Blonde Ale,/cervezas/monasterium-cerveza-artesanal
,Cervecera Casasola,"La especial de navidad!!! Una cerveza tostada, de triple fermentación en botella magnum, madurada durante 7 meses en barrica de vino de Ribera del Duero, (roble francés). Cerveza absolutamente redonda y suave, con recuerdos y aromas a madera-Una ... Ver más exclusiva y única, con una producción muy limitada. Estupenda para degustar sola con la familia o los amigos. FELIZ NAVIDAD. Ver menos",,Casasola Navidad,,Christmas-Winter Specialty Spiced Beer,/cervezas/casasola-navidad
8.2 º,Edge Brewing,"Pionero
DDH DIPA",8.2 º,Edge Brewing Pionero,,Imperial IPA,/cervezas/edge-brewing-pionero
40 IBU,In Peccatum Craft BeerBrouwerij Frontaal,"Keltius In Peccatum / Frontaal Doce Amencer & Gerookte Zonsondergang
Smoked Barleywine
Colaboración internacional con Brouwerij Frontaal. Smoked barleywine de 9,5%",40 IBU,Keltius In Peccatum / Frontaal Doce Amencer & Gerookte Zonsondergang,,Smoke Flavored and Wood Aged Beer,/cervezas/keltius-in-peccatum---frontaal-doce-amencer---gerookte-zonsondergang
25 IBU,Urban Beer,"Urban Beer Blonde
Nuestra cerveza Blonde Ale es una cerveza artesana de color amarillo dorado, levemente turbia, espuma abundante blanca y de buena retención. En nariz aromas maltosos dulces de bollería, con notas de fruta de hueso y pomelo. Boca ... Ver más amplio cuerpo y peso. Afloran aromas maltosos del cereal y postgusto afrutado. Carbónico y alcohol bien integrados.
Aroma: aromas maltosos dulces de bollería, con notas de fruta de hueso y pomelo.
Aspecto: color amarillo dorado.
Sensación en boca: amplio cuerpo y peso.
Sabor: aromas maltosos del cereal y postgusto afrutado. Ver menos",25 IBU,Urban Beer Blonde Ale,,Blonde Ale,/cervezas/urban-beer-blonde-ale
0 º,Cerveza Victoria,"Victoria Sin - 0.0
Victoria SIN es una cerveza con 0,0% Alc. Vol. pensada para todos aquellos que quieran disfrutar del sabor original de Victoria pero libre de alcohol y con un contenido calórico reducido a la mínima expresión.
De un ámbar transparente ... Ver más ribetes dorados y espuma ligera, se caracteriza por un sabor delicado pero con carácter que tendrás que probar para creer.
Victoria 0,0 se elabora mediante el mismo procedimiento tradicional de maduración lenta que Victoria, con un mínimo de dos semanas de guarda que asegura la elevada calidad del producto. El resultado es una cerveza dorada y brillante, de sabor suave, con densas notas de sus cereales, malta de cebada, maíz, arroz y lúpulo.
Pensada para todos aquellos que quieren disfrutar del sabor original de Victoria pero libre de alcohol y con su contenido calórico reducido a la mínima expresión. Ver menos",0 º,Victoria Sin,,Sin Alcohol,/cervezas/victoria-sin
0 º,Cerveza Victoria,"Victoria Sin - 0.0
Victoria SIN es una cerveza con 0,0% Alc. Vol. pensada para todos aquellos que quieran disfrutar del sabor original de Victoria pero libre de alcohol y con un contenido calórico reducido a la mínima expresión.
De un ámbar transparente ... Ver más ribetes dorados y espuma ligera, se caracteriza por un sabor delicado pero con carácter que tendrás que probar para creer.
Victoria 0,0 se elabora mediante el mismo procedimiento tradicional de maduración lenta que Victoria, con un mínimo de dos semanas de guarda que asegura la elevada calidad del producto. El resultado es una cerveza dorada y brillante, de sabor suave, con densas notas de sus cereales, malta de cebada, maíz, arroz y lúpulo.
Pensada para todos aquellos que quieren disfrutar del sabor original de Victoria pero libre de alcohol y con su contenido calórico reducido a la mínima expresión. Ver menos",0 º,Victoria Sin,,Sin Alcohol,/cervezas/zorro-de-oro-morena/5bbe18f11603da91498b49ce
7.5 º,La Runa Hidromiel,"La Runa Hidromiel especiada Vainilla
Hidromiel especiada con vainilla,se trata de una hidromiel seca con un carácter fuerte ademas de un aroma pronunciadodebido a la utilización de miel de castaño típica de la zona de la Alpujarra y Sierra Nevada, ... Ver más con un gusto final a vainilla, posee una graduación de 7,5º de alcohol. Ver menos",7.5 º,La Runa Hidromiel Vainilla,,Mead - Hidromiel,/cervezas/la-runa-hidromiel-vainilla
5.7 º,Guineu - Ca l’ArenysKings Brewing Company,"Mango Kings
Hazy Juicy IPA Cascade, Amarillo, Citra with mango.",5.7 º,Guineu / Kings Brewing Mango Kings,,New England IPA,/cervezas/guineu---kings-brewing-mango-kings
100 IBU,Guineu - Ca l’Arenys,"Yellow Submarine
IPA",100 IBU,Guineu Yellow Submarine,,American IPA,/cervezas/guineu-yellow-submarine
"starstarstarstarstar 5,00",Yria-Guinea pigs!Reptilian BreweryYria,"The Nuclear Mutant Beast! versus The Giant Reptilian From Hell!
Salvajemente brutal esta birra elaborada entre bestias mutantes y gigantes reptiles procedentes del mismísimo infierno. ¿Qué es? Pues es una cerveza que mezcla el cereal centeno y ... Ver más con un estilo Black IPA que además es Doble IPA, con ahumados y envejecida en amaretto. Se puede clasificar en mil estilos. En ella encontramos todo tipo de matices como madera, centeno, cebada, lúpulo, chocolate, ahumados, café y alguna fruta. Una cerveza muy compleja, no apta para cualquier paladar y toda una experiencia sensorial. Tiene un amargor de 180 IBUs.
Black Rye Smoked Imperial IPA Cedar Ammareto Aged Ver menos","starstarstarstarstar 5,00",Yria / Reptilian The Nuclear Mutant Beast! vs The Giant Reptilian From Hell!,,Smoke Flavored and Wood Aged Beer,/cervezas/yria---reptilian-the-nuclear-mutant-beast--vs-the-giant-reptilian-from-hell-
130 IBU,Cervesa Holz,"Ipalante es una cervesa que bla, bla, bla, bla, bla, bla, bla, bla, hip, hip, IPA, IPA, bla, bla, bla, bla... bla, bla, hops, bla, bla, bla, bla, bla, bla black, bla, burps... bla, bla, bla, bla, bla, bla, hopping, bla, blabla, bla...bla... bla... ... Ver más bla........... buurrrrrrrrps..... bla, bla, blabla, bla, bla, bla... posam una altra!!! Ver menos",130 IBU,Holz IPAlante,,Imperial IPA,/cervezas/holz-ipalante
"starstarstarstar_halfstar_border 3,40",3Monos Craft Beer,"3Monos Vito Hopleone
“Le haré una oferta que no podrá rechazar.”
Poderosa y contundente, no apta para todos los paladares.
Explosión de fruta tropical, cargada de aromas, sabores y matices que no ocultan una gran personalidad y cuerpo. De ... Ver más rojo rubí, la combinación perfecta entre el lúpulo y las maltas Caramelo. Ver menos","starstarstarstar_halfstar_border 3,40",3Monos Vito Hopleone,,Imperial IPA,/cervezas/3monos-vito-hopleone
5.5 º,Cervexa Áncora,"Áncora O Afiador
Cerveza clásica de trigo con aromas a lúpulos europeos y una espuma blanca y persistente.",5.5 º,Áncora O Afiador,,Weizen-Weissbier,/cervezas/ancora-o-afiador
0.9 º,Cervezas Alhambra,"La mezcla ideal entre la cerveza y el sabor limón. Elaborada a partir de cerveza tipo pilsen Alhambra de 4,6º sorprende por su sabor refrescante y a cerveza. Sin duda, la Shandy más cerveceza.

Nota de cata
Cerveza con sabor limón,  sabor ligero, ... Ver más muy refrescante.
Color dorado brillante con ligeros tonos rojizos que recuerda a una cerveza tipo pilsen. Espuma  de gran consistencia y textura suave.
Sabor muy cercano al de la cerveza suave, con tonos dulces, afrutados y con aromas cítricos a cáscara de limón y jengibre. La alternativa perfecta dentro de la gama sin alcohol para los momentos mas cerveceros

Ficha técnica
Tipo: Clara sabor limón.
Graduación: 0,9% Vol.
Temperatura de servicio: 4 – 6º C.
Sabor: Muy refrescante.
Color: Suaves tonalidades de dorados.
Aromas: Cáscara de limón y cítricos. Ver menos",0.9 º,Shandy de Alhambra,,Shandy / Radler,/cervezas/shandy-de-alhambra
5.5 º,NaparbierEvil Twin Brewing,"Cerveza elaborada para Evil Twin en las instalaciones de Naparbier, en Navarra.",5.5 º,Evil Twin Dos Cervezas Por Favor,,Pilsner,/cervezas/evil-twin-dos-cervezas-por-favor
25 IBU,Cerveza Marbella,"Marbella American Pilsner
El color tostado. La espuma de mar de la costa de California. Los campos de Milwaukee. Hemos intentado meter todas estas cosas en nuestra American Pilsner pero no cabían, así que hemos puesto solo la mejor cerveza que ... Ver más probado. Para que la pruebes tú también. De nada.
Color dorado oscuro de 16 EBC, trasparente, deja entender la untuosidad que nos vamos a encontrar como textura.
Aroma intenso. Experiencia de frescor con aromas florales, mezclados con toques herbáceos.
En la primera impresión en boca encuentras unos dulces de grano amielados, pero rápidamente se confirman las sensaciones de los olores, hierba y flores, característicos de los lupulos americanos. Una fina carbonatación que hace una cerveza untuosa fácil de beber y que siempre te reclama beber otro poco.
Ideal para aperitivo y durante la comida. Los sabores herbáceos y ﬂorales determinan en maridaje, que serán platos fuertes, carnes a la brasa y pescados al horno predominantemente.  Ver menos",25 IBU,Marbella American Pilsner,,Classic American Pilsener,/cervezas/marbella-american-pilsner
45 IBU,Drunken Bros Brewery,"Drunken Bros Black & Deep 2016 Ice-bock Edition
Version destilada por congelación de la Black & Deep Imperial Stout hasta conseguir 18% abv y un cuerpo y sabor indescriptible.",45 IBU,Drunken Bros Black & Deep 2016 Ice-bock Edition,,Eisbock,/cervezas/drunken-bros-black---deep-2016-ice-bock-edition
5 º,Cervezas 37,37 Brown Ale,5 º,37 Brown Ale,,American Brown Ale,/cervezas/37-brown-ale
51 IBU,Menos Lobos Brew & Co.,"Menos Lobos American Pale Ale
American Extra Pale Ale
Érase una vez un lobo roneante, érase una vez una chiquilla con capucha…así podría empezar el cuento.Menos Lobos APA es la primera cerveza comercializada por Menos Lobos Brewing Co. De color ... Ver más aroma marcado por los lúpulos americanos, sabor con toques afrutados de melocotón y mango, con fondo de malta y bizcocho. Refrescante y agradable en boca. Ligeramente amarga y de espuma suave. Ver menos",51 IBU,Menos Lobos American Pale Ale,,American Pale Ale,/cervezas/menos-lobos-american-pale-ale
6 º,Eula Garardotegia,"Eula Sidra Natural Eusko Label
La sidra de Eula Eusko Label está elaborada 100% con manzana de la propia cosecha. La Sidra Natural del País Vasco con Eusko Label, está elaborada exclusivamente con manzanas de sidra sanas, recogidas en su punto ... Ver más de maduración, procedentes de manzanales de Euskadi. Ver menos",6 º,Eula Sidra Natural Eusko Label,,Sidra - Applewine,/cervezas/eula-sidra-natural-eusko-label
6.5 º,Cervezas Meiga,"Meiga Abelleira
En colaboración con Apícola Regueira. Unha cervexa con mel de abellas da nosa comarca.",6.5 º,Meiga Abelleira,,Specialty Beer,/cervezas/meiga-abelleira
"starstarstarstar_borderstar_border 3,00",Cervezas Arriaca,"Arriaca Centeno es una cerveza especial, estilo Rye India Pale Lager elaborada con un alto porcentaje de malta de centeno y levadura de fondo.
Aspecto: Color dorado pajizo con espuma blanca y cremosa de buena retención.
Aroma: En nariz, los toques ... Ver más del centeno, especias y naranja, se combinan con notas pináceas y un peculiar aroma a lúpulo.
Sabor: En boca, los matices especiados del centeno dan paso a un suave final amargo.
Maridaje: Cerveza ideal para comidas especiadas, frutos secos, quesos y patés.
Arriaca Centeno ha obtenido la medalla de oro en el Barcelona Beer Festival 2016, el Primer Premio en la Feria Internacional Thielmann Craft Beer Madrid 2014 y medalla de bronce en el World Beer Idol 2016 en Praga.   Ver menos","starstarstarstar_borderstar_border 3,00",Arriaca Centeno,,Specialty Beer,/cervezas/arriaca-centeno
9.5 º,Barbas Beer Project,"El Barbas Strong Cuvée Vermouth Ale
Strong ale madurada en barricas de vermouth.",9.5 º,El Barbas Strong Cuvée Vermouth Ale,,Strong Ale,/cervezas/el-barbas-strong-cuvee-vermouth-ale
26 IBU,Sa Cerviseria,"Sa Cerviseria Sa Forta
Una cervesa d’alta graduació típica d’Escòcia. Molt maltosa, dolça, amb notes de melassa i amb tocs de caramel. El seu elevat contingut alcohòlic fa que la dolçor no arribi a embafar. Ideal per als que volen gaudir ... Ver más cervesa tranquil·lament Ver menos",26 IBU,Sa Cerviseria Sa Forta,,Strong Scotch Ale,/cervezas/sa-cerviseria-sa-forta
8 º,Tyris,"Tyris Pomelo Anderson
IPA con pomelo, podría definirse como fruit red double IPA",8 º,Tyris Pomelo Anderson,,Imperial IPA,/cervezas/tyris-pomelo-anderson
5.2 º,BÝRA,"BÝRA Alpha
American Pale Ale
Cerveza Artesanal, 100% natural. Doble Malta BÝRA Alpha es una cerveza de intenso sabor, penetrante y adictiva. Una auténtica doble malta. En su amalgama de sabores descubrirás aromas a frutos tropicales y notas florales, ... Ver más un ligero amargor y retrogusto cítrico (pomelo), que te acercarán al Océano Pacífico con cada trago.
Sírvela en copa y descubre su color cobrizo, su densa y persistente espuma, con sólo 5,2º de alcohol. Una cerveza auténtica para ellos y ellas. Cerveza sin pasteurizar. 2ª fermentación en botella, por lo que puede presentar alguna precipitación natural. Ver menos",5.2 º,BÝRA Alpha,,American Pale Ale,/cervezas/byra-alpha
35 IBU,Cervezas Guimos,Guimo´s Pale Ale,35 IBU,Guimo´s Pale Ale,,English Pale Ale,/cervezas/guimo-s-pale-ale
3.2 º,Mahou San Miguel,"Mahou Radler - Mahou Cinco Estrellas Radler
Mahou Cinco Estrellas Radler, una cerveza radler que combina el sabor de Cinco Estrellas con zumo natural de limón. Pensada para que cada trago sea un momento refrescante cargado del sabor de siempre.
Cerveza ... Ver más elaborada con zumo de limón natural, aporta al paladar una experiencia diferente y refrescante sin tener que renunciar al sabor de Cinco Estrellas.
Su ingrediente principal, zumo natural de limón, la convierte en una cerveza con limón con una fragancia nítida e intensa en la que dominan los aromas cítricos a lima limón y deja un recuerdo a fruta tropical. Desde el primer sorbo, nuestra radler deja un amargo sutil y una sensación ácida equilibrada, con un cierto dulzor, que hace de ella una cerveza refrescante. Ver menos",3.2 º,Mahou Radler,,Shandy / Radler,/cervezas/mahou-radler
6.5 º,Urban Beer,"Urban Beer Cream Ale
Nota débil a malta. Bajo lúpulo de amargor y moderada maltosidad y dulzor.
Color dorado. Suave aunque el cuerpo tiende a ser medio.",6.5 º,Urban Beer Cream Ale,,Cream Ale,/cervezas/urban-beer-cream-ale
5.5 º,Alimentaria Grupo,"Cerveza Madrid
Antes - Estrella Madrid Super Premium
Cerveza con un color ámbar dorado y aromas ligeramente tostados. En copa presenta una espuma consistente, de textura esponjosa. Una cerveza con cuerpo, sabor redondo, constante y agradable y ... Ver más notas herbáceas, finalizando con un amargor poco pronunciado. Ver menos",5.5 º,Cerveza Madrid Super Premium,,Lager,/cervezas/cerveza-madrid-super-premium
"starstarstarstar_halfstar_border 3,50",La Selvaseria,"Selva Fresca
British Golden Ale – Summer Ale senzilla i refrescant amb sabor cítric que fa que sembli que porta llimonada.
Cervesa lleugera i refrescant, ideal per fer passar la set amb sabor cítric produït pel llúpol que fa que sembli que ... Ver más llimonada sense portar-la. Color palla clara amb carbonatació mitja i escuma blanca i lleugera.
La Fresca marida amb aperitius.
---------------------
British Golden Ale – Summer Ale sencilla y refrescante con sabor cítrico que hace que parezca que tiene limonada.
Cerveza ligera y refrescante, ideal para pasar la sed con sabor cítrico producido por el lúpulo que hace que parezca que tiene limonada sin tenerla. Color paja clara con carbonatación media y espuma blanca y ligera.
Marida con aperitivos.  Ver menos","starstarstarstar_halfstar_border 3,50",La Selvaseria Selva Fresca,,English Pale Ale,/cervezas/la-selvaseria-selva-fresca
,Zulogaarden,"Una de sus primeras elaboraciones (2008).Esta variedad de cerveza la elaboramos pensando en una cerveza maltosa en que predominaran los toques dulces y suaves de las cervezas con un elevado protagonismo del grano. En principio fuimos elaborando una ... Ver más a modo de ``experimento`` para, a partir del resultado obtenido, ir retocando hasta conseguir el resultado esperado. El hecho es que con el resultado del ``experimento`` conseguimos algo parecido al resultado que íbamos buscando. ¡La suerte del principiante!. Ahora ya, esta receta, muy sencilla, la hemos consolidado y es una de las que más veces hemos reproducido.No es casual la elección de un pastel para la etiqueta de la Zulogaaden Biscuit ya que es una cerveza de tipo Ale ``caramelizada`` y maltosa con lúpulos suaves que no estorban en la apreciación del gusto. Color marrón claro, espuma blanca, de sabor suave y agradable. Ver menos",,Zulogaarden Biscuit,,Ale,/cervezas/zulogaarden-biscuit
7 IBU,Mascletà,"Pólvora Blue
Pólvora Blue está elaborada de forma artesanal, sólo con productos naturales 100% ecológicos, es decir, agua de manantial, 100% malta de cebada, lúpulo, levadura y un sutil aroma a naranja y azahar.
Nuestra cerveza realiza una segunda ... Ver más en la botella para conseguir la gasificación.
No filtramos la cerveza, por lo que el producto puede contener sedimientos de levadura.
Ha de preservarse de la luz y de las altas temperaturas para evitar su deterioro. Aconsejamos que antes de ser servida se deje reposar.
También aconsejamos que se sirva en copa de vino tipo Borgoña o Burdeos a una temperatura aproximada entre los 6º a 8º C.
Pólvora Blue es una cerveza que se caracteriza por su frescura y aroma a naranja y azahar, con espuma blanca y persistente y un color rubio muy característico. En boca el paso es suave y sedoso, cuerpo ligero y un amargor muy sutil.
Es una cerveza ideal para acompañar mariscos, conservas, quesos semi curados, salazones y encurtidos. Ver menos",7 IBU,Mascletá Pólvora Blue,,Pale Ale,/cervezas/mascleta-polvora-blue
"starstarstarstar_halfstar_border 3,60",La Font del Diable,"La Font del Diable Tot Sègol
Rye Beer
Most elaborat amb maltes Pale, Smoked i Rye; i 3 tipus de llúpol en flor.
Mitjançant 3 addicions de Ilúpol ( Galena, HM, Simcoe ) aconseguim l’amargor, sabor i aroma, generant 62 IBU. Aquest most és ... Ver más en cervesa amb una fermentació alta, tipus Ale
Amb això volem transmetre la nostra pròpia interpretació de l’estil Rye Beer, on el Sègol utilitzat (20%) mostra tot el seu caràcter especiat i afruitat, acompanyat per un cos complet.
--------------------------
Mosto elaborado con maltas Pale , Smoked y Rye ; y 3 tipos de lúpulo en flor.
Mediante 3 adiciones de lúpulo ( Galena , HM, Simcoe ) conseguimos la amargura , sabor y aroma, generando 62 IBU. Este mosto es transformado en cerveza con una fermentación alta, tipo Ale
Con esto queremos transmitir nuestra propia interpretación del estilo Rye Beer , donde el Centeno utilizado ( 20% ) muestra todo su carácter especiado y frutal , acompañado por un cuerpo completo.  Ver menos","starstarstarstar_halfstar_border 3,60",La Font del Diable Tot Sègol,,American Wheat or Rye Beer,/cervezas/la-font-del-diable-tot-segol
3.5 º,Cerveza Artesanal Códice,"Elaborada artesanalmente, sin filtrar, sin pasteurizar, sin aditivos y 100% natural. Gasificación natural lograda después de 2 meses de maduración.Ingredientes: agua, malta de cebada, lúpulo, levadura y manzana.",3.5 º,Códice Manzana,,Fruit Beer,/cervezas/codice-manzana
"starstarstarstar_halfstar_border 3,70",Falken Brewing,"Nuclear Hophead destaca por su balance entre malta y lúpulo. Fácil de beber, muestra ya en nariz su perfil de lúpulo americano: fruta tropical, pomelo y pino.
En boca destaca por su amargor firme y resinoso, pero no dominante, siguiendo a la percepción ... Ver más en nariz, con un matiz final resinoso y seco, pero ligero. Una IPA de corte americano.
The Sci-Fi Story:
“Año 1983. Un hacker muy “hophead” se cuela sin querer en el sistema de defensa nuclear W.O.P.R. mientras buscaba un distribuidor de lúpulo asequible. Pensando que hacía su pedido, intercambia las cabezas nucleares por… ¡lúpulo de la Costa Oeste! Ignorante y satisfecho, presiona enviar…
En unas horas, millones de flores de lúpulo caen del cielo por toda Europa, convirtiendo en IPA todo brebaje a su alcance, desde el zumo de la merienda al agua del gato. ¡Incluso el Mediterráneo! El ambiente es floral, frutal, resinoso y festivo. ¡La gente en la calle sonríe mucho más que antes!
Y así nacieron las IPAs. ¡Olvida aquella historia del largo viaje a la India!”
Fdo: Nuclear Hophead Ver menos","starstarstarstar_halfstar_border 3,70",Falken Brewing Nuclear Hophead,,American IPA,/cervezas/falken-brewing-nuclear-hophead
40 IBU,Tibidabo Brewing,"Enemies To the End
Esta cerveza es fruto de nuestra colaboración con Cervesa Espiga y hemos pensado elaborar una cerveza para los otoños calurosos. De trago fácil, tiene una combinación sensacional de los lúpulos Lemondrop y Idaho7, dando aromas ... Ver más y complejos a lima y limón Ver menos",40 IBU,Tibidabo Brewing / Espiga Enemies To the End,,English Pale Ale,/cervezas/tibidabo-brewing---espiga-enemies-to-the-end
5 º,MYQ - Mayurqa,"La cerveza Mayurqa (MYQ para los amigos) parte de una obstinada busqueda de la receta ideal para el clima de nuestras islas.
Para llegar a la MYQ que ahora os ofrecemos, hemos partido de una receta clásica de blanca belga que después de muchas ... Ver más fermentaciones y pruebas se convierte en una autoctona rubia mallorquina: clara, fresca, con su dosis perfecta de trigo, lúpulos que aportan amargor y aromas florales, una pizca amable de regaliz y el ligéro toque cítrico de la mano del cilantro y la naranja de la isla.
Formatos 33cl y 75cl Ver menos",5 º,Mayurqa MYQ,,Ale,/cervezas/mayurqa-myq
5.5 º,CCVK - Compañía Cervecera del Valle del Khas,"CCVK VII Tits
American Pale Ale amarilla con reflejos anaranjados, algo velada de espuma, cremosa y persistente. Para maridar con pescado a la brasa y mariscos.",5.5 º,CCVK VII Tits,,American Pale Ale,/cervezas/ccvk-vii-tits
5 º,La Nazarenita,"Hieron Brown Porter
Cerveza de sabor y aromas complejos, destacando el chocolate y café. La equilibrada mezcla de maltas torrefactas y maltas base dan como resultado un amargor delicado y para nada desagradable. Los lúpulos europeos le confieren ... Ver más matiz terroso y herbal. De color marrón oscuro y espuma densa color crema. Ver menos",5 º,Hieron Brown Porter,,Porter,/cervezas/hieron-brown-porter
53 IBU,Old Skull,"Old Skull Cat Pale Ale
Densidad media. Amargor bajo. Gusto a cereal y toques caramelo. Color dorado a ambar",53 IBU,Old Skull Cat Pale Ale,,Pale Ale,/cervezas/old-skull-cat-pale-ale
43 IBU,La Resclosa,American IPA,43 IBU,La Resclosa American IPA,,American IPA,/cervezas/la-resclosa-american-ipa
10 IBU,Jaira,Jaira la Chiflada del Trigo,10 IBU,Jaira la Chiflada del Trigo,,Weizen-Weissbier,/cervezas/jaira-la-chiflada-del-trigo
42 IBU,Fat Sparrow,"Fat Sparrow Pale Ale
Cerveza dorada, muy bebible, buena carbonatación, de espuma blanca ligera y baja densidad, con notas a fruta de hueso y pomelo.",42 IBU,Fat Sparrow Pale Ale,,American Pale Ale,/cervezas/fat-sparrow-pale-ale
8 º,Hidromiel Rasmia,"Rasmia Clásica
Inspirada en el melikraton de la Grecia Antigua, Rasmia Clásica es una hidromiel semidulce con notas de aromas frutales, destacando manzana, lichi, melocotón y miel. Ideal para aperitivos, quesos, foie… 8% alc vol.",8 º,Rasmia Clásica,,Mead - Hidromiel,/cervezas/rasmia-clasica
"starstarstarstarstar_border 4,00",Deorus,"Deorus Shiba

Fruit

India Pale Ale","starstarstarstarstar_border 4,00",Deorus Shiba,,India Pale Ale,/cervezas/deorus-shiba
0.9 º,As Cervesa Artesana,"Komodin
Cerveza sin alcohol que mantiene los sabores apetecibles del cereal, con un moderado amargor, un final seco y evitando el dulzor propio de las cervezas sin alcohol. Además, ofrece unos aromas herbales propios del lúpulo Centennial añadido ... Ver más de la fermentación que le otorga un carácter muy refrescante. Ver menos",0.9 º,As Komodin,,Sin Alcohol,/cervezas/as-komodin
55 IBU,Zulogaarden,Edición limitada presentada en el Fes-ti 2012 de Vilanova i la Geltrú.,55 IBU,Zulogaarden Galàxia Caníval,,Pale Ale,/cervezas/zulogaarden-galaxia-canival
19 IBU,Folks Bier,"Cerveza ligera de trigo de estilo alemán. Muy refrescante y aromática.
Fresca y ligeramente amarga en boca, afrutada en nariz y turbia y pálida a la vista.",19 IBU,Folks Bier Trigo,,Weizen-Weissbier,/cervezas/folks-bier-trigo
