ABV,Brewery,Description,IBU,Name,Rating,Style,URL
21 IBU,La Jerezana,"La Jerezana Buleria - Rubia
Esta Rubia es una cerveza de Fermentación Baja (Lager) sin filtrar con una segunda fermentación en botella. Homenaje a las cervezas Helles de Baviera.
La receta ha sido concebida para que pueda ser degustada en cualquier ... Ver más de ocasión y en cualquier momento, siempre refrescante, con un lupulado ligero, pero con cuerpo.
Puedes beberla directamente de la botella, pero si quieres disfrutarla al máximo a la vista, olfato y al gusto, es conveniente dejarla reposar verticalmente antes de servirla fría muy despacio en el vaso y procurando dejar el poso en la botella para que no se enturbie.
Es de color amarillo ligeramente dorado, transparente. Está coronada por una espuma estable, adherente al vaso. Nos encontramos con una complejidad de aromas. El aroma predominante es a grano de nuestra tierra, ya que un gran porcentaje de las maltas utilizadas proviene de Andalucía. También encontramos aromas frutales y a pan fermentado, aportados por la levadura. El lupulado es ligero en nariz, aunque se pueden percibir los toques herbáceos de lúpulos alemanes.
Tiene una entrada ligera, pero con cuerpo y manteniendo un volumen redondo. Deja una tenue persistencia. El compañero perfecto para maridar con cualquier comida o simplemente de tapeo. El carbónico es moderado, agradable al paladar. Ver menos",21 IBU,La Jerezana Buleria,,Munich Helles,/cervezas/la-jerezana-buleria
25 IBU,Basqueland Brewing ProjectSand City Brewing Co,"Little Wing
India Pale Ale
Fly on, my sweet angel
Little Wing is our collab with our NY friends of @sandcitybrewery An IPA dry-hopped with Mosaic, Chinook and Simcoe Cryo.
Forever we’ll be by your side.",25 IBU,Basqueland / Sand City Little Wing,,American IPA,/cervezas/basqueland---sand-city-little-wing
66 IBU,Cervecera Península,"Galactic Sunset
Todo amanecer debe tener un atardecer, y esta DIPA (Double IPA) cargada de una abrumadora cantidad de Lúpulo Galaxy y malta Maris Otter es el acompañante perfecto para disfrutar de la puesta del sol desde cualquier lugar del planeta ... Ver más o cualquier otro cuerpo intergaláctico.
La unión de las maltas Maris Otter, T50 e Imperial resulta en un color cobrizo muy parecido a los tonos de los atardeceres que Luke Skywalker contemplaba durante su crianza en Tatooine. Ver menos",66 IBU,Península Galactic Sunset,,Imperial IPA,/cervezas/peninsula-galactic-sunset
42 IBU,La Quince BrewerySeñor Lúpulo,"Tsunami Hoppy Pils
For Tsunami Xixón punk rock festival. This amazing music festival inspired us the name of Tsunami Hoppy Pilswith Double Dry Hopping brewed for our friends from Señor Lúpulo.",42 IBU,La Quince / Señor Lúpulo Tsunami Hoppy Pils,,Pilsner,/cervezas/la-quince---senor-lupulo-tsunami-hoppy-pils
58 IBU,Menos Lobos Brew & Co.,"¡A mamá ni pio! Bohemian IPA
No sabemos, quién sedujo a quién. Ni donde está la abuela. El caso es que la chiquilla se ensañó con el lobo, por abusón. Por ahí anda suelto. Huyó malherido. Demasiados Lobos.
¡A mamá ni pio! Bohemian IPA ... Ver más marcado carácter afrutado y toques suaves a cítricos, obtenidos de las adiciones tardías de los lúpulos americanos. Refrescante, aunque ciertamente amarga y con final en boca seco. Ver menos",58 IBU,Menos Lobos A Mamá Ni Pio,,India Pale Ale,/cervezas/menos-lobos-a-mama-ni-pio
45 IBU,La Calavera,"La Calavera Disorder
Imperial Amber Chilli Whisky Barrel Aged
Wood Series
Aromes de caramel, vainilla, whisky....; Escuma densa i de color crema que contrasta amb un cos ambarí d’aspecte molt transparent.
La seva carbonatació és baixa i el ... Ver más d’agulla molt fi. Té sabors dolços, caramelitzats, que compensen amb el picant i les notes de fusta de la bóta. Té un cos notable i una textura cremosa, on el picant li proporciona molta complexitat en el seu recorregut i un caràcter càlid. Ver menos",45 IBU,La Calavera Disorder,,"Spice, Herb o Vegetable Beer",/cervezas/la-calavera-disorder
18 IBU,Damm,"Daura Märzen
Doble malta sin gluten
Es una cerveza diferente que tiene más fuerza, más cuerpo y más sabor debido a la doble cantidad de malta en la receta. La misma garantía de calidad que Daura siempre con menos de 3ppm de gluten.",18 IBU,Daura Märzen,,Sin Gluten,/cervezas/daura-marzen
4.6 º,Mad BrewingDougall’s,"Mad Brewing / Dougall’s Green Mountain
New England Session IPA hecha con cariño, amor y mucho Simcoe",4.6 º,Mad Brewing / Dougall’s Green Mountain,,India Pale Ale,/cervezas/mad-brewing---dougall-s-green-mountain
6.8 º,Malandar,"She Is Demolitioner 9,80665
DDH NEIPA",6.8 º,Malandar She Is Demolitioner,,New England IPA,/cervezas/malandar-she-is-demolitioner
40 IBU,Drunken Bros Brewery,"Drunken Bros Bowie
Imperial Stout
Os presentamos una Imperial stout dentro de la memorial series elaborada con cacao puro y vainilla de Madagascar.
Inicialmente se percibe un aroma intenso a medio camino entre el cacao y la vainilla, con un fondo ... Ver más licoroso.
En boca se presenta muy densa, cremosa y enormemente sedosa, con un paso muy agradable y aterciopelado por el paladar. Dando paso a la potencia e intensidad que llenan todo el paladar durante largo tiempo. En retrogusto se deja ver la vainilla, el cacao, además de una ligera y cálida sensación licorosa.
Nuestro homenaje en recuerdo al gran David Bowie. Ver menos",40 IBU,Drunken Bros Bowie,,Imperial Stout,/cervezas/drunken-bros-bowie
