,Name,Style,Description
49,"Mad Brewing Jim West starstarstarstar_halfstar_border 3,59 ",American IPA - 8 º,"Jim West
West Coast IPA"
50,Sargs / Virtus American Stout ,American Stout - 9 º - 30 IBU,"American Stout
Elaborada en colaboración con Cervezas Virtus de Burgos. Con cacao y piel de naranja."
51,Yakka Tropical IPA ,American IPA - 0 º,"Tropical IPA
Simcoe y Ekuanot
Tropical IPA con mucho Simcoe y mucho Ekuanot, además de mango y fruta de la pasión."
52,"Yakka Hazy IPA starstarstarstarstar_border 3,95 ",New England IPA - 5.6 º,"Hazy IPA
Hazy IPA hiperlupulada, afrutada, floral... bestialmente aromática y muy poco amarga... A pintas sabe mejor.
Cuéntame el cuento de los barquitos de tus abuelos la birra que viaja con viento bueno. Dame las IPAS llenas de flores y un tercio a pelo, con lúpulo antiguo y también con n ..."
53,Pyrene Wild Goddess Imperial Neipa Nitro ,Imperial IPA - 8.5 º - 10 IBU,"Wild Goddess Imperial Neipa Nitro
Imprerial Neipa Nitro. Color paja pálido, de aspecto fino, lechoso y brillante. Espuma muy cremosa y de burbuja fina gracias a carbanatación con nitrógeno. Alto aroma a lúpulo, notas herbáceas y cítricas en boca. Algo ácida y seca, nada amarga y poco dulce."
54,Pyrene Fada Witbier ,Witbier - 4.7 º - 19 IBU,"Fada Witbier
Witbier de trigo con jengibre y lemon grass. Color oro bastante traslucida y clara. Muy buena retención de espuma y muy carbónica. Leves aromas a lúpulos donde predomina el fresco olor a jengibre. Muy fresca en boca y algo cítrica característica del lemon grass. Nada amarga, m ..."
55,Gross Nor IPA ,American IPA - 5.8 º,Nor IPA
56,"Larraldea Sidra Natural starstarstarstarstar_border 3,76 ",Sidra - Applewine - 6 º,Larraldea Sidra Natural
57,"Cierzo These Hops Are Made For Punching starstarstarstar_halfstar_border 3,69 ",American IPA - 7.1 º - 90 IBU,"These Hops Are Made For Punching
Estos lúpulos están hechos para golpear tus sentidos y eso es justo lo que harán. Deja que esta aromática IPA te pasa por encima, dejando tras de si un rastro amargo, cítrico y floral, dominado por un potente dry hopping de Cascade."
58,"Cierzo Saurus starstarstarstarstar_border 3,84 ",Stout - 8 º - 45 IBU,"Saurus
Imperial Stout con galletas
Hace millones de años los dinosaurios dominaban La Tierra, hasta que un meteorito los convirtió en nutritivas y deliciosas galletas. Solo una poderosa, oscura y torrefacta Imperial Stout podría ser capaz de devolverlos a la vida para disfrutar de su dulce sabor."
59,"Cierzo Infrenable starstarstarstarstar_border 4,02 ",Imperial IPA - 8.4 º - 50 IBU,"Infrenable
Doble IPA
No hay quien pare frene a esta Doble IPA con DDH de Citra, Mosaic, Ekuanot, Azacca y Cryo Amarillo. Una cerveza de color dorado opaco, muy aromática, sedosa en boca y con un agradable amargor, elaborada en colaboración con Basqueland Brewing."
60,"Cierzo Tarántula starstarstarstar_halfstar_border 3,75 ",Black IPA - 6.4 º - 85 IBU,"Tarántula
Black IPA
Si nos dejamos llevar por el olfato, el aroma herbáceo del lúpulo Chinook predecirá correctamente una IPA de trago amargo y final seco, que en boca se mezcla con ligeras notas torrefactas, anticipadas por la apariencia oscura de esta cerveza."
61,"Cierzo La Federal starstarstarstarstar_border 3,93 ",Porter - 5.5 º - 30 IBU,"La Federal
Chili Porter
Déjate sorprender por los contrastes de esta cerveza oscura, torrefacta, dulce y con un final picante, gracias al uso de tres variedades de chiles: Pasilla, Ancho y Árbol. Colaboración con la coctelería zaragozana, de corazón mexicano, El Federal."
62,"No Nation Farm Attack! starstarstarstar_halfstar_border 3,71 ",New England IPA - 5.5 º,"Farm Attack!
DDH Hazy IPA
Exp-Beer-001
Farm Attack! Exp-Beer-001 es la primera cerveza de una línea de cervezas experimentales.
DDH Hazy IPA de 5,50% bien aderezada de verdor lupulero. Biofrutas muy bebible de Moisaic y Citra.
Turbia, divertida, fresca, sabrosa y con mucha, mucha personalidad."
63,"No Nation TTT starstarstarstar_halfstar_border 3,52 ",American IPA - 6.5 º - 75 IBU,"TTT
West Coast IPA
Derma Series
TTT Derma Series, es una cerveza de estilo West Coast con dos cepas de levadura, que han trabajado en paralelo. Una combinación perfecta de lúpulos.
*Grabado en tu piel. Hasta el final. Lo que viviste, es lo que eres. Lo que serás, solo lo sabes tú""."
64,"No Nation Sticky Storm starstarstarstar_halfstar_border 3,70 ",New England IPA - 5.5 º - 35 IBU,"Sticky Storm
Segunda creación para seguir dando guerra. En este caso una cerveza con lúpulos Columbus, Centennial y Amarillo. Cerveza conceptuada de un modo algo diferente a la anterior, huyendo de perfiles tropicales, para apegarnos más a perfiles resinosos y cítricos. ¡Amamos lo que hace ..."
65,A Cova Céltica Fartura ,American Pale Ale - 5.5 º,"Fartura
GZ Pale Ale
American Pale Ale con lúpulos del valle de Órbigo, en León, y lúpulos americanos.
Color dorado, con una graduación de 5,5 y un toque amargo y seco con toques de melocotón."
66,"Soma Double Citra Meets Simcoe starstarstarstarstar_half 4,33 ",Imperial IPA - 8 º,Double Citra Meets Simcoe
67,Espiga True Army ,Imperial IPA - 8 º - 75 IBU,"True Army
New England DIPA
Una New England Double IPA carregada de llúpol. De color daurat pàl·lid, amb certa terbolesa i escuma blanca. En aroma i sabor destaquen els afruitats i herbals gràcies al doble dry hopping d’Amarillo i Citra que aporten notes a llima, mango i maracujà. En boca ..."
68,Península Unplug ,IPA Otros - 6 º - 46 IBU,"Unplug
Red Rye IPA
Unplug es una IPA roja con centeno, de 6%, con lúpulos Columbus, Simcoe y Cascade, perfecta para desconectar y disfrutar de lo que tienes alrededor mientras la tomas: como si activaras el modo avión de tu teléfono móvil."
69,Reptilian / Brew Division Gosezilla ,Fruit Lambic - 7 º - 8 IBU,"Gosezilla
Kettle Soured Gose with black salt from Himalaia, strawberry and basil in collaboration with Brew Division.
----------------
Kettle Soured Gose con sal negra de Himalaia, fresa y albahaca en colaboración con Brew Division."
70,"Sesma Goxua starstarstarstarstar_border 4,14 ",Imperial Stout - 12.5 º,"Goxua
Dessert Imperial Sweet Stout
Ingredientes: malta de cebada, malta de avena, copos de avena, copos de trigo, malta de trigo, azúcar moreno, bizcochos, lactosa, vainilla, canela, caramelo."
71,Yria Purple Haze Blackcurrant Melomel ,Mead - Hidromiel - 16 º,"Purple Haze Blackcurrant Melomel
Yria Purple Haze es una hidromiel estilo melomel con grosella negra fresca (200 g/l sin ningún aditivo, conservante, colorante o saborizante), nuestra hidromiel de 16% ha sido madurada previamente hasta cuatro años en depósitos de acero inoxidable."
72,1270 Doppelbock ,Doppelbock - 7 º - 21 IBU,"Doppelbock
Tostada
Nuestra cerveza tostada. Rica en cuerpo y maltosa, con aroma a roble ahumado y toques de frutos secos.La cerveza ideal para esas tardes de otoño e invierno, un placer para los sentidos."
73,"Zmajska Pivovara / Montseny Bounty Stout starstarstarstarstar_border 3,86 ",Stout - 6 º - 40 IBU,"Bounty Stout
Pastry Stout
Bounty Stout ima nemalih 6,0% abv, ugodnih 40 IBU-a, a dominantne arome kokosa, kakaa, tamne čokolade i tamne karamele svrstavaju ga u Pastry Stout tip piva. Slojevit, bogat i pomalo dekadentan pivski stil zbog dodatka slastičarskih sastojaka. Idealan za jesenje dane!"
74,Montseny Hazy IPA ,New England IPA - 6 º,"Hazy IPA
La tercera edició limitada amb dissenys de @ivanbravo_"
75,"Tyris Pastry Stout starstarstarstar_halfstar_border 3,57 ",Sweet Stout - 5.4 º,"Pastry Stout
Con frutos rojos. "
76,"Tyris UFO DDH starstarstarstar_halfstar_border 3,74 ",American IPA - 5 º - 23 IBU,"UFO DDH
DDH IPA con 24 gramos de lúpulo por litro.
Cerveza del 10ª Aniversario de Tyris macrocolaboración con todas las cerveceras asistentes al UFO Fest celebrado en Valencia el 7 de septiembre del 2019.
Micros: Fyne Ales, Cervecera Península, Uiltje Brewing Company, Brasserie Popihn, Ce ..."
77,Naparbier / LIC Beer Angry Monkey ,New England IPA - 8 º,"Angry Monkey
DIPA
La segunda colaboración del aniversario. Te gustan las hazy’s New Yorkinas? hecho con mucho amor con nuestros grandes amigos @licbeerproject..ANGRY MONKEY: Hazy DIPA (8%) Mosaic, Simcoe.
------------------
Our second anniversary colab. Like your hazy’s New York style? Mad ..."
78,Barna Brew Ovella Negra ,Black IPA - 6.8 º - 45 IBU,"Ovella Negra
Black IPA"
79,"Tibidabo Brewing Coal & Maple starstarstarstarstar_border 3,79 ",Sweet Stout - 6.3 º,"Coal & Maple
Maple Stout. Con jarabe de arce."
80,"Tibidabo Brewing Small Batch 2 Double Hazy IPA starstarstarstar_halfstar_border 3,60 ",Imperial IPA - 8 º - 22 IBU,"Small Batch 2
Double Hazy IPA
Nuestra segunda cerveza del proyecto SMALL BATCH – una Double IPA con adición de avena y DDH con los lúpulos Idaho7 y Amarillo.⁠⁠"
81,"La Sagra Madrí IPA starstarstarstar_borderstar_border 3,24 ",India Pale Ale - 7 º - 70 IBU,"Madrí IPA
Cerveza elaborada con amor y chulería. India Pale Ale con notas afrutadas en contraste con sus 70 IBUs de amargor. Muy equilibrada entre cuerpo afrutado, notas amargas y aroma cítrico. Potente, pero de trafo largo y refrescante."
82,"La Sagra Invierno Miel y Anís starstarstarstar_halfstar_border 3,29 ",Christmas-Winter Specialty Spiced Beer - 6.5 º - 14 IBU,"Invierno Miel y Anís
Cerveza tostada de color rojizo con sabor caramelizado y meloso, aroma dulzón y anisado debido a la incorporación de miel y anís en grano en su elaboración."
