,Name,Style,Description
108,"Espiga / Laugar Aged Cocoa Psycho Into the Dark starstarstarstarstar_border 4,23 ",Imperial Stout - 10.5 º,"Aged Cocoa Psycho Into the Dark
Imperial Stout en col·laboració amb Laugar envellida durant 6 mesos en barrica de Bourbon. De color negre intens i amb una escuma cremosa i persistent. En aroma i sabor hi destaquen les notes de cacau que s’utilitza per l’elaboració de les Catànies, els b ..."
109,"Río Azul Parallel starstarstarstarstar_border 3,85 ",Imperial IPA - 8 º - 58 IBU,"Parallel
Double Dry Hopping IPA
DIPA con un doble Dry Hopping de Vic Secret y CRYO Amarillo. La particularidad es que lleva un toque de malta ahumada, cuyos fenoles potencian y dan continuidad y profundidad al DH, dando paso a una cerveza con cuerpo, sedosa (lactosa) y con un amargor bien integ ..."
110,"Espiga / Laugar Cocoa Psycho Into the Dark starstarstarstarstar_border 4,22 ",Imperial Stout - 10.5 º - 50 IBU,"Cocoa Psycho Into the Dark - Cocoa Psycho feat Laugar
Imperial Stout en col·laboració amb Laugar de color negre intens i amb una escuma cremosa i persistent. En aroma i sabor hi destaquen les notes de cacau que s’utilitza per l’elaboració de les Catànies, els bombons més famosos del P ..."
111,"Laugar Bihotz Bihotzez starstarstarstarstar_border 4,09 ",Imperial Stout - 11.5 º,"Bihotz Bihotzez
Imperial Pastry Stout
Bihotz Bihotzez, una colaboración a tres bandas para Bihotz Café con Right Side Coffee , Abasotas y Kaitxo en la que utilizamos sus respectivos ingredientes para conseguir una fina y equilibrada imperial pastry stout.
Imperial pastry stout con café de Bo ..."
112,"Augas Santas / A Cova da Serpe Nuclear Juice starstarstarstarstar_border 4,08 ",New England IPA - 7.8 º - 32 IBU,"Nuclear Juice
DDH Ultra Hopped, 30 grs de lúpulo por litro.
New England IPA, este estilo proviene de la costa este de EEUU, de graduación media, turbia y con insultantes cantidades de lúpulo que le dan un sabor y aspecto a zumo de fruta tropical."
113,Bailandera Sin Alcohol ,Sin Alcohol - 0.9 º,"Sin Alcohol
English Brown Ale con solo 0,9% de alcohol. "
114,"Edge Brewing / Finback Anticipation starstarstarstarstar_border 3,78 ",Imperial IPA - 7 º - 52 IBU,"Anticipation
Double IPA "
115,"Espina de Ferro / Zulogaarden Neiparrectal starstarstarstarstar_border 3,94 ",New England IPA - 6.3 º - 35 IBU,"Neiparrectal
Ipa New England
La Neiparrectal es una NEIPA grindcore con DDH, mango, «folre i manilles»"
116,"Espina de Ferro Limbo 11 starstarstarstar_halfstar_border 3,70 ",Belgian Dark Strong Ale - 8 º - 35 IBU,"Limbo 11
Belgian Dark Strong Ale
Cervesa vermellosa fosca amb sabor maltós i cos mig, cert aroma dolç amb presència de malta i èsters.
-----------
Cerveza rojiza con sabor maltoso y cuerpo medio, cierto aroma dulce con presencia de maltas y esteres."
117,Mala Gissona / Espina de Ferro Mala Espina ,Belgian Dark Strong Ale - 9.5 º - 23 IBU,"Mala Espina
Rye Quadruple fruto la primera colaboración entre @malagissona y @espinadeferro Con 9,5% ABV, color cobrizo oscuro, aromas maltosos complejos, pasas, higos, dátiles...
En boca es intensa con un balance maltoso y notas especiadas."
118,Basqueland / Finback Mucho Caliente ,Imperial IPA - 8 º,"Mucho Caliente
DIPA
Our collab with @finbackbrewery it’s exactly eso, una bomb de lúpulo at 8%. Dry-hopped with Citra, Azacca & Vic Secret. Quema!"
119,Basqueland / Põhjala I Thought We Were Friends ,Imperial Stout - 10 º - 45 IBU,"I Thought We Were Friends
Imperial Stout
I Thought We Were Friends is our collab with @pohjalabeer. A creamy Imperial Stout infused with cinnamon, vanilla and granola.
Art by @aliciamartinart"
120,Guineu Magic Barrel Sour ,Sour Ale - 5 º,"Magic Barrel Sour
Oak Barrel Aged
Una sour envellida un any en barrica de roure, de to vermellós, un punt tèrbola i que en nas hi trobem notes de fruita i molt fresca. En boca hi trobarem un punt de bitxo i tocs dolços, suau, seca i gens embafadora."
121,Guineu Black Daniel’s ,Imperial Stout - 10.5 º,"Black Daniel’s
Imperial Stout
Jack Daniel’s Whisky Barrel Aged
Imperial stout envellida en bóta de Jack Daniel’s, amb aromes de xocolata i de la que destaquen les notes torrefactes. En boca és una cervesa amb molt de cos, equilibrada i amb poca sensació d’alcohol tot i els seus 10,5% ..."
122,"Guineu Black Numbers starstarstarstarstar_border 4,00 ",Imperial Stout - 12 º,"Black Numbers
Imperial Stout
Highlands Scotch Whisky Barrel Aged
La segona Imperial Stout de la gamma ’Barrel series 2019’. Una cervesa envellida en barrica de Whisky Escocès High Lands, i que en boca la trobarem tot i el cos que té, molt equilibrada. Els seus 12 graus estan presents en b ..."
123,Guineu Yellow Submarine ,American IPA - 6 º - 100 IBU,"Yellow Submarine
IPA"
124,Speranto Poison Heart ,Amber Ale - 5.5 º - 25 IBU,"Poison Heart
Amber ale elaborada en exclusiva para la Iguana café.
Una combinación perfecta de notas a caramelo, cítricas y resinosas en una cerveza muy bebestible y sabrosa"
125,"Basqueland Cream of Citra starstarstarstarstar_border 4,06 ",New England IPA - 6.9 º - 30 IBU,"Cream of Citra
Cream series. Single hop Citra New England IPA. Drink fresh. "
126,"Basqueland All That Glitters starstarstarstarstar_border 4,15 ",New England IPA - 6 º - 30 IBU,"All That Glitters
DDH IPA con Dry Hop de Mosaic, Citra y Vic Secret."
127,"Naparbier Barrel Series Archangel starstarstarstar_halfstar_border 3,39 ",Sour Ale - 6 º,"Barrel Series Archangel
Beer Wine Hybrid"
128,"Basqueland Peanut Gorilla starstarstarstar_halfstar_border 3,75 ",Imperial Stout - 11.3 º - 40 IBU,"Peanut Gorilla
Barrel Aged Imperial Stout with peanuts and coconut.
Peanut Gorilla is a Barrel Aged Impy Stout aged in French oak barrels and infused with roasted peanuts 🥜and a hint of fresh roasted coconut. He’s a gentle giant. But he can be a little nutty... 
Art by @marcosnavarroart"
129,"Basqueland Palm Tree Piñata starstarstarstarstar_border 3,90 ",American IPA - 6 º - 62 IBU,"Palm Tree Piñata
West Coast IPA
A classic West Coast IPA dry-hopped with Amarillo, Mosaic and Cryo Columbus. This palm is piney!"
130,"Brew & Roll Doña Turbia starstarstarstarstar_border 3,90 ",American IPA - 6.1 º,"Doña Turbia
Hazy IPA
Mientras Don Turbio recorre los rings dando mamporros de lúpulo por doquier su pareja no se iba a quedar en casa. Si queremos ver a esta super luchadora nos tendremos que ir a ver cómo reparte leña a las birras insulsas.
Como Don Turbio, ella sigue empecinada en su guer ..."
131,"Comala Brewing Puerto Dulce starstarstarstar_halfstar_border 3,66 ",Red Ale - 5.4 º - 20 IBU,"Puerto Dulce
Puerto Dulce, de Comala Brewing, es una cerveza artesana de tipo Red Ale de color ámbar oscuro y cuerpo medio. Puerto Dulce es una cerveza cuya característica primordial es su sabor y aroma a cereal tostado, de retrogusto dulce y carácter seco. De espuma beige y cremosa y carbon ..."
132,Benalhop Carramolo ,Pale Lager - 5.5 º,"Carramolo
 "
133,"Ricote Valley Rye IPA starstarstarstar_halfstar_border 3,64 ",India Pale Ale - 7.3 º - 62 IBU,"Ricote valley’s Rye IPA
 "
134,Ricote Valley Citro Pale Ale ,English Pale Ale - 4.8 º,"Citro Pale Ale
Pale Ale elaborada con pampelmusa (Citrus maxima)del valle de Ricote, con un toque de hierba nuena y citronela. Todo esto hace una cerveza fresca y suave. Perfecta para el calor veraniego del Mediterráneo."
135,"Wylie Brewery Mil 2000s starstarstarstar_halfstar_border 3,74 ",New England IPA - 5 º,"Mil 2000s
New England Pale Ale
New England Pale Ale con lúpulos Mosaic y Simcoe"
136,"Wylie Brewery Boom Boom Boomerangs starstarstarstarstar_border 3,80 ",New England IPA - 6 º,"Boom Boom Boomerangs
New England IPA con lúpulos Amarillo y Olicana"
137,Castreña Colmo ,IPA Otros - 6 º - 60 IBU,"Colmo
Ancares Rye IPA
Elaborada con con miel de los Ancares y centeno autóctono cultivado, cosechado y malteado de manera tradicional.
Bebida suave en boca pero de amargor entre medio y alto, con un final seco y especiado característico de las maltas de centeno. Es una cerveza identificada co ..."
138,"Castreña Kriptonipa starstarstarstar_halfstar_border 3,27 ",India Pale Ale - 6 º,"Kriptonipa Honey IPA
Cerveza artesana, tipo ale con gran amargor y aroma tropical. Utiliza 3 variedades de lúpulo que le otorgan amargor y aromas muy atractivos.
La India Pale Ale es una cerveza de tradición inglesa que se caracteriza por ser una ale pálida y espumosa con alto nivel de amarg ..."
139,Castreña Apache ,American Pale Ale - 6 º,"Apache Honey APA
Cerveza tipo ale con gran aroma afrutado y floral. Utiliza variedades de lúpulo americano cultivados en León. Cerveza artesana, tipo braggot oscura. Sabores sofisticados con toques a miel pura.
La America Pale Ale es una cerveza de tradición americana. Mucho lúpulo american ..."
140,La Pirata Panòptic Chinook ,New England IPA - 6.8 º - 40 IBU,"Panòptic Chinook
New England IPA
Nuestra clásica PANÒPTIC a rebosar de un clásico de los lúpulos… ¡¡el Chinook!!
Te sientes observado. Sabes por quien pero no lo ves. Es el «panòptic». Te controlan, te vigilan y si infringes lo que es socialmente pactado, te castigan. Vuelves a esca ..."
141,"Nómada / Avery Where Is the Cookie? starstarstarstar_borderstar_border 2,91 ",Belgian Dark Strong Ale - 7.5 º,"Where Is the Cookie?
Amber Ale brewed with speculoos orange, cocoa nibs & spices."
142,"La Pirata / La Quince Frapufino starstarstarstar_halfstar_border 3,75 ",Sweet Stout - 3.7 º - 12 IBU,"Frapufino
Session Pastry Stout
Frapufino es el resultado de la amistad de La Pirata y La Quince. El frapuccino hecho cerveza: cacao, vainilla, cafe y de graduación baja. el compañero idóneo para una tarde de lluvia y birras la excusa perfecta para mojar el churro."
143,"Basqueland / La Quince Double Cut Txuleta starstarstarstarstar_border 4,03 ",American IPA - 6 º - 35 IBU,"Double Cut Txuleta
Esta colaboración que hicimos con @laquincebrewwild está en seco con txuleta * , HBC-431, mosaico y Citra. Es jugoso y tropical. También sabe a txuleta!!!**
* No contiene txuleta.** No sabe a txuleta **
Arte por @marcosnavarroart"
144,Castelló Beer Factory / Zeta Destroyed Brains ,Imperial IPA - 9.4 º,"Destroyed Brains
Triple New England IPA
Producida en casa CBF con la colaboración de Zeta Beer Co. Triple New England IPA elaborada con salvajes cantidades de lúpulos Cryo Citra, Cryo Mosaic, Mosaic, Cryo Simcoe y Amarillo, y subidita de alcohol. De color dorado, turbia y muy sabrosa. Una ida ..."
145,Castelló Beer Factory Flower Sour Hibiscus ,IPA Otros - 5.5 º,"Flower Sour Hibiscus
Sour IPA
New England IPA ligeramente ácida y amarga, elaborada con una infusión de flor de hibisco en caliente, y otra adición en frío. Cerveza de color rojo intenso y muy turbia. Aroma a lúpulos cítricos, tal cual se espera de una NEIPA, pero con el sabor de una Sour ..."
146,Castelló Beer Factory Countdown ,New England IPA - 7.4 º,"Countdown
New England IPA elaborada con lúpulos Mosaic y Citra en su formato más potente: Cryo Hops.“Y una vez que la tormenta termine, no recordarás cómo lo lograste, como sobreviviste. Ni siquiera estarás seguro si la tormenta ha terminado realmente. Una cosa es segura: cuando salgas d ..."
147,Rio Azul / Rec Brew Black Forest ,Imperial Stout - 11.5 º,"Black Forest
Imperial Stout With Raspberries"
148,"La Resclosa American IPA starstarstarstar_halfstar_border 3,64 ",American IPA - 5.2 º - 43 IBU,American IPA
149,"Garage Beer Co Pocket That starstarstarstarstar_border 3,90 ",Session IPA - 4.8 º,"Pocket That
Session IPA feta amb llúpols cryo citra, HBC-431, cascade i simcoe.
-----------
Session IPA hecha con lúpulos cryo citra, HBC-431, cascade y simcoe.
-------------
Session IPA brewed w/ cryo citra, HBC-431, cascade & simcoe,"
150,"Garage Beer Co / Collective Arts Whale Mist starstarstarstarstar_border 4,16 ",Berliner Weisse - 8.5 º,"Whale Mist
Imperial berliner weisse elaborada con grosellas negras, arándanos y moras en colaboración con Collective Arts (Canada)
Bomba frutal de 8,5% ABV con 650 kilos de moras, arándanos y grosellas negras. prepárate para una berliner weisse super balanceada y espesa con la suavidad de l ..."
151,"Ales Agullons Maduixots starstarstarstarstar_border 4,00 ",Fruit Lambic - 5.7 º,"Maduixots - Barrica Maduixots
Fermentació Mixta"
152,"Basqueland Party On the West Coast starstarstarstar_halfstar_border 3,41 ",American Amber Ale - 6.2 º - 39 IBU,Party On the West Coast
153,Maresme Tectonica ,Imperial IPA - 7.8 º,"Tectonica
DIPA
NEDIPA - Doble IPA 7,8% Alc amb DYDH de llupols Falconer’s Flight i Zhytos"
154,"Maresme 2 Märzen starstarstarstar_halfstar_border 3,47 ",Oktoberfest-Marzen - 6 º - 17 IBU,"#2 Märzen
Märzenbier 6% Alc"
155,Maresme 1 Helles ,Munich Helles - 5.2 º - 15 IBU,"#1 Helles
Munich Helles 5,2% Alc. Sin Gluten Certificado"
156,"Maresme Pigmea starstarstarstar_halfstar_border 3,64 ",New England IPA - 2.7 º,"Pigmea
Micro NEIPA
Micro IPA tipo New England con Doble Dry Hopping de Cryo Cascade, Polaris & Citra"
157,Eighth Sun The One ,American Pale Ale - 5.6 º - 33 IBU,"The One
APA
Cervesa d’Estil americà d’alta fermentació.
Gustos afruitats amb notes i aromes cítrics, provinents dels seus llúpols Americans. Amargor compensada per la dolçor de la malta i el moderat grau alcohòlic."
158,Eighth Sun India Sun ,India Pale Ale - 6.2 º - 50 IBU,"India Sun
Indian Pale Ale IPA. Cervesa forta d’alta fermentació, grau alt i alta amargor. És una modificació de la versió de la Pale Ale Anglesa que s’exportava a l’Índia en l’època colonial.
Nota de tast: Aromes dolços de fruites tropicals i cítrics, provinents dels llúpols de ..."
159,"La Txika de la Cerveza Hop Circus starstarstarstar_halfstar_border 3,45 ",English IPA - 6 º - 45 IBU,"Hop Circus
India Pale Ale
Sedosa y afrutada. Amargor ligero y aromas cítricos y acaramelados.
Es Gluten Free, pincha en cada lote para ver los informes de laboratorio."
160,"Poch’s IPA Citra & Mosaic starstarstarstarstar_border 4,09 ",American IPA - 6 º - 50 IBU,"IPA Citra & Mosaic
West Cosat IPA Citra & Mosaic"
161,Beering Barcelona Fight Ink ,American IPA - 6 º - 60 IBU,"Fight Ink
West Coast IPA
Colaboración con @goontattoo elaborada en Gross."
162,Ctretze Hop Squad ,New England IPA - 5 º - 60 IBU,"Hop Squad
DDH NEIPA
Una New Englasn IPA amb doble dry-hopping, cervesa térbola, amb predomini de llúpols citrics i afruitats, de caràcter sedós en boca i amargor de moderat a fort."
163,"Ctretze Fura starstarstarstar_halfstar_border 3,49 ",German Pilsner (Pils) - 4.8 º,"Fura
Amb llúpols de la regió de Hallertauer, com el Magnum i el Melon. D’aromes lleugers a pa i mel. Clara i neta. Final sec i lleugerament amarg.
---------------
With hops of Hallertauer region,like as Magnum and Melon. Smells bread and honey. Clear and clean. Dry finish and slightly bitter."
164,"Espiga Garage IPA starstarstarstar_halfstar_border 3,65 ",India Pale Ale - 6 º - 56 IBU,"Una Indian Pale Ale ara reivindicar el homebrewing y la cerveza artesana. De color rojizo y con una ligera pero cremosa espuma. En aroma y sabor destaca por la explosión de toques afrutados y cítricos que recuerdan al limón, el melocotón y las ciruelas verdes al lado de ligeras notas resino ..."
165,Estrella Galicia Grape Ale 12 Uvas ,Fruit Beer - 9.3 º - 21 IBU,"Grape Ale 12 Uvas
Elaborada con 12 variedades de uva de la Ribeira Sacra.
Estrella Galicia y la bodega Ponte da Boga colaboran en este proyecto donde a las tradicionales materias primas cerveceras se suman estas 12 variedades de uvas blancas y tintas recogidas en la vendimia de 2019 por viticul ..."
166,La Virgen Saison Arándanos Negros ,Saison - 7.1 º - 60 IBU,"Saison Arándanos Negros
Saison En Foudre Con Arándanos Negros
Esta cerveza tipo Saison, la maduramos en foudres de madera y le añadimos Arándonos Negros Frescos recogidos en Huelva. Busca sabores a frutas del bosque, ácidos, dulces y muy refrescantes. La tirada es limitada a 3500 L y est� ..."
167,La Virgen Saison Madre ,Saison - 6.1 º - 60 IBU,"Saison Madre
Esta es la cerveza madre de nuestras Saison que maduramos en Foudres de madera. A esta no le añadimos nada. Nos gustó tanto que la hemos envasado así, sin frutas. Esta Saison salvaje tiene sabores frutales, ácidos, dulces y muy refrescantes. La tirada es limitada a 3500 L y est ..."
168,"La Virgen Pino starstarstarstar_borderstar_border 3,20 ",Vienna Lager - 6 º,"Pino
Vienna Lager"
169,Edge Brewing Dive ,India Pale Ale - 6.1 º,"Dive
A homage in the form of an IPA to the music producer Dive Dibosso. With 6,1% ABV, Dive is a hoppy, bitter beer with an array of fruity flavors (grapefruit, peach, pineapple, mango…) that linger in the aftertaste, and has a dry finish."
170,"Fat Sparrow / Drunken Bros Red Moskito starstarstarstar_halfstar_border 3,55 ",Red IPA - 6 º,"Red Moskito
Xtreme Hopped Red IPA"
171,"Redneck N.I.B. starstarstarstar_halfstar_border 3,68 ",Christmas-Winter Specialty Spiced Beer - 7 º - 28 IBU,"N.I.B.
ESB Winter Edition
Especial Bitter con avellana edicionde invierno. Nutty ESB winter edition."
172,Tibidabo Brewing Jazzblat ,Weizen-Weissbier - 5 º - 13 IBU,"Jazzblat
Weissbier
Solo la malta, el lúpulo y la levadura de fermentación alta dan unas notas agradables al plátano, a pimienta y a clavo. Sin filtrar, aportando todas las vitaminas B de la levadura, es levemente ácida y extremadamente refrescante."
